no;title;year;genre;origin;director;star;imdb_link;image_url
16;One Flew Over the Cuckoo's Nest;1975;Drama;USA;Milos Forman;Jack Nicholson;https://www.imdb.com/title/tt0073486;https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
17;Goodfellas;1990;Drama;USA;Martin Scorsese;Robert De Niro;https://www.imdb.com/title/tt0099685;https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
18;The Matrix;1999;Action;USA;Lana Wachowski;Keanu Reeves;https://www.imdb.com/title/tt0133093;https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
19;Shichinin no samurai;1954;Drama;Japan;Akira Kurosawa;Toshir� Mifune;https://www.imdb.com/title/tt0047478;https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_FMjpg_UX1000_.jpg
20;Cidade de Deus;2002;Drama;Brazil;Fernando Meirelles;Alexandre Rodrigues;https://www.imdb.com/title/tt0317248;https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
21;Se7en;1995;Drama;USA;David Fincher;Morgan Freeman;https://www.imdb.com/title/tt0114369;https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
22;Star Wars;1977;Fantasy;USA;George Lucas;Mark Hamill;https://www.imdb.com/title/tt0076759;https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_FMjpg_UX1000_.jpg
23;The Silence of the Lambs;1991;Thriller;USA;Jonathan Demme;Jodie Foster;https://www.imdb.com/title/tt0102926;https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
24;It's a Wonderful Life;1946;Drama;USA;Frank Capra;James Stewart;https://www.imdb.com/title/tt0038650;https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_FMjpg_UX1000_.jpg
25;La vita � bella;1997;War;Italy;Roberto Benigni;Roberto Benigni;https://www.imdb.com/title/tt0118799;https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
26;The Usual Suspects;1995;Thriller;USA;Bryan Singer;Kevin Spacey;https://www.imdb.com/title/tt0114814;https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
27;Sen to Chihiro no kamikakushi;2001;Adventure;Japan;Hayao Miyazaki;Daveigh Chase;https://www.imdb.com/title/tt0245429;https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
28;Saving Private Ryan;1998;Drama;USA;Steven Spielberg;Tom Hanks;https://www.imdb.com/title/tt0120815;https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_FMjpg_UX1000_.jpg
29;L�on;1994;Drama;France;Luc Besson;Jean Reno;https://www.imdb.com/title/tt0110413;https://m.media-amazon.com/images/M/MV5BOTgyMWQ0ZWUtN2Q2MS00NmY0LWI3OWMtNjFkMzZlNDZjNTk0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
30;Spider-Man: Into the Spider-Verse;2018;Comedy;USA;Bob Persichetti;Shameik Moore;https://www.imdb.com/title/tt4633694;https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_FMjpg_UX1000_.jpg
31;The Green Mile;1999;Drama;USA;Frank Darabont;Tom Hanks;https://www.imdb.com/title/tt0120689;https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_FMjpg_UX1000_.jpg
32;Interstellar;2014;Drama;USA;Christopher Nolan;Matthew McConaughey;https://www.imdb.com/title/tt0816692;https://m.media-amazon.com/images/M/MV5BMjJmM2RkZjUtYzk2OC00NzczLWI0ZWMtZjU1MDg2MmNiZjc4XkEyXkFqcGdeQXVyOTgxMDMxNTc@._V1_FMjpg_UX1000_.jpg
33;Psycho;1960;Thriller;USA;Alfred Hitchcock;Anthony Perkins;https://www.imdb.com/title/tt0054215;https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
34;American History X;1998;Drama;USA;Tony Kaye;Edward Norton;https://www.imdb.com/title/tt0120586;https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_FMjpg_UX1000_.jpg
35;City Lights;1931;Drama;USA;Charles Chaplin;Charles Chaplin;https://www.imdb.com/title/tt0021749;https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
36;C'era una volta il West;1968;Western;Italy;Sergio Leone;Henry Fonda;https://www.imdb.com/title/tt0064116;https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
37;Casablanca;1942;War;USA;Michael Curtiz;Humphrey Bogart;https://www.imdb.com/title/tt0034583;https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_FMjpg_UX1000_.jpg
38;Modern Times;1936;Drama;USA;Charles Chaplin;Charles Chaplin;https://www.imdb.com/title/tt0027977;https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
39;The Pianist;2002;Drama;France;Roman Polanski;Adrien Brody;https://www.imdb.com/title/tt0253474;https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
40;Intouchables;2011;Drama;France;Olivier Nakache;Fran�ois Cluzet;https://www.imdb.com/title/tt1675434;https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_FMjpg_UX1000_.jpg
41;The Departed;2006;Drama;Hong Kong;Martin Scorsese;Leonardo DiCaprio;https://www.imdb.com/title/tt0407887;https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_FMjpg_UX1000_.jpg
42;Terminator 2: Judgment Day;1991;Action;France;James Cameron;Arnold Schwarzenegger;https://www.imdb.com/title/tt0103064;https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
43;Back to the Future;1985;Comedy;USA;Robert Zemeckis;Michael J. Fox;https://www.imdb.com/title/tt0088763;https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
44;Whiplash;2014;Drama;USA;Damien Chazelle;Miles Teller;https://www.imdb.com/title/tt2582802;https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
45;Rear Window;1954;Thriller;USA;Alfred Hitchcock;James Stewart;https://www.imdb.com/title/tt0047396;https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
46;Raiders of the Lost Ark;1981;Adventure;USA;Steven Spielberg;Harrison Ford;https://www.imdb.com/title/tt0082971;https://m.media-amazon.com/images/M/MV5BODMzYzU3NmMtMDQ4ZC00MDRiLTgwN2QtMTY1NzA3YmRhMzJmXkEyXkFqcGdeQXVyNjMzMDgxMzk@._V1_FMjpg_UX1000_.jpg
47;The Lion King�;1994;Adventure;USA;Roger Allers;Donald Glover;https://www.imdb.com/title/tt0110357;https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_FMjpg_UX1000_.jpg
48;Gladiator;2000;Drama;USA;Ridley Scott;Russell Crowe;https://www.imdb.com/title/tt0172495;https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
49;The Prestige;2006;Drama;USA;Christopher Nolan;Christian Bale;https://www.imdb.com/title/tt0482571;https://m.media-amazon.com/images/M/MV5BMzZhOTVmOTEtZGIxZS00MmExLTk1OWItOTFhMzNjNzNiN2M4XkEyXkFqcGdeQXVyOTU2NDAzNDE@._V1_FMjpg_UX1000_.jpg
50;Apocalypse Now;1979;Drama;USA;Francis Ford Coppola;Martin Sheen;https://www.imdb.com/title/tt0078788;https://m.media-amazon.com/images/M/MV5BZjFmNzhmZTAtMzdkMC00MTRiLTkwZjgtYmExZTMwN2U5YTRhXkEyXkFqcGdeQXVyMjI0NTA4NzA@._V1_FMjpg_UX1000_.jpg
51;Memento;2000;Thriller;USA;Christopher Nolan;Guy Pearce;https://www.imdb.com/title/tt0209144;https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
52;Alien;1979;Horror;USA;Ridley Scott;Sigourney Weaver;https://www.imdb.com/title/tt0078748;https://m.media-amazon.com/images/M/MV5BOGQ1NmFmZjktNTBjNS00YmEwLWIzYWUtYTQ5NzY2ZGVkYTdmXkEyXkFqcGdeQXVyMjI0NTA4NzA@._V1_FMjpg_UX1000_.jpg
53;The Great Dictator;1940;Drama;USA;Charles Chaplin;Charles Chaplin;https://www.imdb.com/title/tt0032553;https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
54;Nuovo Cinema Paradiso;1988;Drama;Italy;Giuseppe Tornatore;Philippe Noiret;https://www.imdb.com/title/tt0095765;https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_FMjpg_UX1000_.jpg
55;Hotaru no haka;1988;War;Japan;Isao Takahata;Tsutomu Tatsumi;https://www.imdb.com/title/tt0095327;https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg
56;Avengers: Infinity War;2018;Adventure;USA;Anthony Russo;Robert Downey Jr.;https://www.imdb.com/title/tt4154756;https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_FMjpg_UX1000_.jpg
57;Sunset Blvd.;1950;Drama;USA;Billy Wilder;William Holden;https://www.imdb.com/title/tt0043014;https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_FMjpg_UX1000_.jpg
58;Das Leben der Anderen;2006;Drama;Germany;Florian Henckel von Donnersmarck;Ulrich M�he;https://www.imdb.com/title/tt0405094;https://m.media-amazon.com/images/M/MV5BNmQyNmJjM2ItNTQzYi00ZjMxLWFjMDYtZjUyN2YwZDk5YWQ2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
59;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;Comedy;USA;Stanley Kubrick;Peter Sellers;https://www.imdb.com/title/tt0057012;https://m.media-amazon.com/images/M/MV5BMWMxYjZkOWUtM2FjMi00MmI1LThkNzQtNTM5Y2E2ZGQ2NGFhXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_FMjpg_UX1000_.jpg
60;Paths of Glory;1957;Drama;USA;Stanley Kubrick;Kirk Douglas;https://www.imdb.com/title/tt0050825;https://m.media-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_FMjpg_UX1000_.jpg
61;The Shining;1980;Horror;USA;Stanley Kubrick;Jack Nicholson;https://www.imdb.com/title/tt0081505;https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
62;Django Unchained;2012;Western;USA;Quentin Tarantino;Jamie Foxx;https://www.imdb.com/title/tt1853728;https://m.media-amazon.com/images/M/MV5BYWZmMmFiYWUtMzkxMC00ZWI2LTg5MGItODBjNmRhOGM4YmNmXkEyXkFqcGdeQXVyOTU2NDAzNDE@._V1_FMjpg_UX1000_.jpg
63;WALL E;2008;Adventure;USA;Andrew Stanton;Ben Burtt;https://www.imdb.com/title/tt0910970;https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_FMjpg_UX1000_.jpg
64;Mononoke-hime;1997;Adventure;Japan;Hayao Miyazaki;Y�ji Matsuda;https://www.imdb.com/title/tt0119698;https://m.media-amazon.com/images/M/MV5BNTZkYmI0MmEtNGFlZC00OWZjLWFjMmItMjk1OWZkOWJiZGVjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
65;Witness for the Prosecution;1957;Drama;USA;Billy Wilder;Tyrone Power;https://www.imdb.com/title/tt0051201;https://m.media-amazon.com/images/M/MV5BNDQwODU5OWYtNDcyNi00MDQ1LThiOGMtZDkwNWJiM2Y3MDg0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_FMjpg_UX1000_.jpg
66;American Beauty;1999;Drama;USA;Sam Mendes;Kevin Spacey;https://www.imdb.com/title/tt0169547;https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
67;The Dark Knight Rises;2012;Action;USA;Christopher Nolan;Christian Bale;https://www.imdb.com/title/tt1345836;https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_FMjpg_UX1000_.jpg
68;Oldeuboi;2003;Thriller;South Korea;Chan-wook Park;Choi Min-sik;https://www.imdb.com/title/tt0364569;https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_FMjpg_UX1000_.jpg
69;Aliens;1986;Adventure;USA;James Cameron;Sigourney Weaver;https://www.imdb.com/title/tt0090605;https://m.media-amazon.com/images/M/MV5BMWY3MzYwNjQtZGVhYi00ODhiLWFjMzYtZDhlM2E5OGNhYmQzXkEyXkFqcGdeQXVyMjI0NTA4NzA@._V1_FMjpg_UX1000_.jpg
70;Once Upon a Time in America;1984;Drama;Italy;Sergio Leone;Robert De Niro;https://www.imdb.com/title/tt0087843;https://m.media-amazon.com/images/M/MV5BYTBmNzM1YTMtYTRmMC00NTE1LThiNGUtMzVkZWFlZjQ5YzBmXkEyXkFqcGdeQXVyMjI0NTA4NzA@._V1_FMjpg_UX1000_.jpg
71;Coco;2017;Comedy;USA;Lee Unkrich;Anthony Gonzalez;https://www.imdb.com/title/tt2380307;https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_FMjpg_UX1000_.jpg
72;Das Boot;1981;War;West Germany;Wolfgang Petersen;J�rgen Prochnow;https://www.imdb.com/title/tt0082096;https://m.media-amazon.com/images/M/MV5BNDBjMWUxNTUtNjZiNi00YzJhLTgzNzUtMTRiY2FkZmMzYTNjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_FMjpg_UX1000_.jpg
73;Citizen Kane;1941;Drama;USA;Orson Welles;Orson Welles;https://www.imdb.com/title/tt0033467;https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
74;Braveheart;1995;Drama;USA;Mel Gibson;Mel Gibson;https://www.imdb.com/title/tt0112573;https://m.media-amazon.com/images/M/MV5BYmZjM2IwNWQtMTEyMC00ZGQzLWI1ZDYtM2IxOWY5MDhiNjBkXkEyXkFqcGdeQXVyMjI0NTA4NzA@._V1_FMjpg_UX1000_.jpg
75;Vertigo;1958;Thriller;USA;Alfred Hitchcock;James Stewart;https://www.imdb.com/title/tt0052357;https://m.media-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
76;North by Northwest;1959;Thriller;USA;Alfred Hitchcock;Cary Grant;https://www.imdb.com/title/tt0053125;https://m.media-amazon.com/images/M/MV5BZDA3NDExMTUtMDlhOC00MmQ5LWExZGUtYmI1NGVlZWI4OWNiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
77;Reservoir Dogs;1992;Drama;USA;Quentin Tarantino;Harvey Keitel;https://www.imdb.com/title/tt0105236;https://m.media-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
78;Star Wars: Episode VI - Return of the Jedi;1983;Adventure;USA;Richard Marquand;Mark Hamill;https://www.imdb.com/title/tt0086190;https://m.media-amazon.com/images/M/MV5BMWFlNmMyYjctZjA4NC00ZDRkLWE2N2MtZjhiMDgyMDI0MjU3XkEyXkFqcGdeQXVyOTU2NDAzNDE@._V1_FMjpg_UX1000_.jpg
79;M - Eine Stadt sucht einen M�rder;1931;Thriller;Germany;Fritz Lang;Peter Lorre;https://www.imdb.com/title/tt0022100;https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_FMjpg_UX1000_.jpg
80;Kimi no na wa.;2016;Romance;Japan;Makoto Shinkai;Ryunosuke Kamiki;https://www.imdb.com/title/tt5311514;https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_FMjpg_UX1000_.jpg
81;Amadeus;1984;Drama;France;Milos Forman;F. Murray Abraham;https://www.imdb.com/title/tt0086879;https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_FMjpg_UX1000_.jpg
82;Requiem for a Dream;2000;Drama;USA;Darren Aronofsky;Ellen Burstyn;https://www.imdb.com/title/tt0180093;https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
